Watching for file changes with StatReloader
Waiting for apps ready_event.
Apps ready_event triggered. Sending autoreload_started signal.
Watching dir /workspace/reset-bali/templates with glob **/*.
Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/allauth/templates with glob **/*.
Watching dir /workspace/reset-bali/home/templates with glob **/*.
Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/cloudinary/templates with glob **/*.
Watching dir /workspace/reset-bali/profiles/templates with glob **/*.
Watching dir /workspace/reset-bali/accounts/templates with glob **/*.
Watching dir /workspace/reset-bali/contact/templates with glob **/*.
Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/crispy_forms/templates with glob **/*.
Watching dir /workspace/reset-bali/programmes/templates with glob **/*.
Watching dir /workspace/reset-bali/locale with glob **/*.mo.
Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/cloudinary_storage/locale with glob **/*.mo.
Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/cloudinary/locale with glob **/*.mo.
Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/crispy_forms/locale with glob **/*.mo.
Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/allauth/locale with glob **/*.mo.
Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/allauth/account/locale with glob **/*.mo.
Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/allauth/socialaccount/locale with glob **/*.mo.
Watching dir /workspace/reset-bali/home/locale with glob **/*.mo.
Watching dir /workspace/reset-bali/accounts/locale with glob **/*.mo.
Watching dir /workspace/reset-bali/programmes/locale with glob **/*.mo.
Watching dir /workspace/reset-bali/contact/locale with glob **/*.mo.
Watching dir /workspace/reset-bali/profiles/locale with glob **/*.mo.
File /workspace/.pip-modules/lib/python3.8/site-packages/django/forms/widgets.py first seen with mtime 1659089633.52354
File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/models/sql/__init__.py first seen with mtime 1659089633.5195398
File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/models/signals.py first seen with mtime 1659089633.51554
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/inspect.py first seen with mtime 1656529199.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/staticfiles/management/commands/__init__.py first seen with mtime 1659089633.47154
File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/checks/files.py first seen with mtime 1659089633.4795399
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/urllib3/request.py first seen with mtime 1656529227.0
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/_markupbase.py first seen with mtime 1656529199.0
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/email/encoders.py first seen with mtime 1656529201.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/migrations/operations/base.py first seen with mtime 1659089633.51154
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/urllib/request.py first seen with mtime 1656529201.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/template/context.py first seen with mtime 1659089633.54354
File /workspace/.pip-modules/lib/python3.8/site-packages/django/utils/asyncio.py first seen with mtime 1659089633.55154
File /workspace/.pip-modules/lib/python3.8/site-packages/dj_database_url.py first seen with mtime 1659089690.9795356
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/encodings/utf_8.py first seen with mtime 1656529201.0
File /workspace/.pip-modules/lib/python3.8/site-packages/allauth/socialaccount/apps.py first seen with mtime 1659089935.6875172
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/urllib3/util/proxy.py first seen with mtime 1656529227.0
File /workspace/.pip-modules/lib/python3.8/site-packages/cloudinary/exceptions.py first seen with mtime 1659089957.0235157
File /workspace/.pip-modules/lib/python3.8/site-packages/allauth/account/templatetags/__init__.py first seen with mtime 1659089935.6595173
File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/admin/templatetags/log.py first seen with mtime 1659089633.05154
File /workspace/.pip-modules/lib/python3.8/site-packages/django/http/__init__.py first seen with mtime 1659089633.5395398
File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/checks/security/base.py first seen with mtime 1659089633.4795399
File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/staticfiles/finders.py first seen with mtime 1659089633.47154
File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/contenttypes/fields.py first seen with mtime 1659089633.15154
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/numbers.py first seen with mtime 1656529199.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/utils/datastructures.py first seen with mtime 1659089633.5555398
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/typing.py first seen with mtime 1656529199.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/handlers/asgi.py first seen with mtime 1659089633.4835398
File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/cache/backends/__init__.py first seen with mtime 1659089633.47554
File /workspace/.pip-modules/lib/python3.8/site-packages/cloudinary/api_client/tcp_keep_alive_manager.py first seen with mtime 1659089957.0235157
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/logging/config.py first seen with mtime 1656529201.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/admin/widgets.py first seen with mtime 1659089632.9235399
File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/management/__init__.py first seen with mtime 1659089633.48754
File /workspace/.pip-modules/lib/python3.8/site-packages/django/dispatch/__init__.py first seen with mtime 1659089633.52354
File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/admin/options.py first seen with mtime 1659089632.91954
File /workspace/.pip-modules/lib/python3.8/site-packages/django/utils/log.py first seen with mtime 1659089633.5595398
File /workspace/reset-bali/profiles/views.py first seen with mtime 1659084114.0
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/urllib3/contrib/appengine.py first seen with mtime 1656529227.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/views/debug.py first seen with mtime 1659089633.56354
File /workspace/.pip-modules/lib/python3.8/site-packages/django/views/generic/__init__.py first seen with mtime 1659089633.56354
File /workspace/.pip-modules/lib/python3.8/site-packages/cloudinary_storage/templatetags/__init__.py first seen with mtime 1659098716.8308015
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/pathlib.py first seen with mtime 1656529199.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/management/color.py first seen with mtime 1659089633.48754
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/urllib3/contrib/__init__.py first seen with mtime 1656529227.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/models/fields/reverse_related.py first seen with mtime 1659089633.5195398
File /workspace/.pip-modules/lib/python3.8/site-packages/django/dispatch/dispatcher.py first seen with mtime 1659089633.52354
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/codecs.py first seen with mtime 1656529199.0
File /workspace/.pip-modules/lib/python3.8/site-packages/crispy_forms/base.py first seen with mtime 1659089999.6915123
File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/admin/decorators.py first seen with mtime 1659089632.91954
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/ssl.py first seen with mtime 1656529199.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/forms/fields.py first seen with mtime 1659089633.52354
File /workspace/reset-bali/programmes/__init__.py first seen with mtime 1659084114.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/template/loaders/cached.py first seen with mtime 1659089633.54754
File /workspace/.pip-modules/lib/python3.8/site-packages/django/views/decorators/csrf.py first seen with mtime 1659089633.56354
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/pprint.py first seen with mtime 1656529199.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/backends/postgresql/__init__.py first seen with mtime 1659089633.5035398
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/_compression.py first seen with mtime 1656529199.0
File /workspace/.pip-modules/lib/python3.8/site-packages/allauth/account/apps.py first seen with mtime 1659089935.6595173
File /workspace/.pip-modules/lib/python3.8/site-packages/django/shortcuts.py first seen with mtime 1659089632.8315399
File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/auth/management/__init__.py first seen with mtime 1659089633.1475399
File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/backends/__init__.py first seen with mtime 1659089633.49554
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/email/charset.py first seen with mtime 1656529201.0
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/html/parser.py first seen with mtime 1656529201.0
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/re.py first seen with mtime 1656529199.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/utils/safestring.py first seen with mtime 1659089633.5595398
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/weakref.py first seen with mtime 1656529199.0
File /workspace/reset-bali/accounts/views.py first seen with mtime 1659084114.0
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/token.py first seen with mtime 1656529199.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/messages/storage/__init__.py first seen with mtime 1659089633.32354
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/urllib3/util/wait.py first seen with mtime 1656529227.0
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/asyncio/subprocess.py first seen with mtime 1656529201.0
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/sre_constants.py first seen with mtime 1656529199.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/views/generic/dates.py first seen with mtime 1659089633.56354
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/lib-dynload/_hashlib.cpython-38-x86_64-linux-gnu.so first seen with mtime 1656529185.0
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/email/header.py first seen with mtime 1656529201.0
File /workspace/.pip-modules/lib/python3.8/site-packages/allauth/socialaccount/fields.py first seen with mtime 1659089935.6875172
File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/files/images.py first seen with mtime 1659089633.4795399
File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/models/utils.py first seen with mtime 1659089633.51554
File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/sessions/middleware.py first seen with mtime 1659089633.3915398
File /workspace/.pip-modules/lib/python3.8/site-packages/django/utils/_os.py first seen with mtime 1659089633.55154
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/asyncio/base_events.py first seen with mtime 1656529201.0
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/asyncio/sslproto.py first seen with mtime 1656529201.0
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/encodings/aliases.py first seen with mtime 1656529201.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/messages/apps.py first seen with mtime 1659089633.32354
File /workspace/reset-bali/home/views.py first seen with mtime 1659084114.0
File /workspace/reset-bali/profiles/models.py first seen with mtime 1659084114.0
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/reprlib.py first seen with mtime 1656529199.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/urls/__init__.py first seen with mtime 1659089633.55154
File /workspace/.pip-modules/lib/python3.8/site-packages/sqlparse/tokens.py first seen with mtime 1659089632.71154
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/traceback.py first seen with mtime 1656529199.0
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/asyncio/locks.py first seen with mtime 1656529201.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/models/query.py first seen with mtime 1659089633.51554
File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/migrations/__init__.py first seen with mtime 1659089633.50754
File /workspace/.pip-modules/lib/python3.8/site-packages/django/utils/deprecation.py first seen with mtime 1659089633.5555398
File /workspace/.pip-modules/lib/python3.8/site-packages/cloudinary_storage/apps.py first seen with mtime 1659098716.8308015
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/logging/handlers.py first seen with mtime 1656529201.0
File /workspace/.pip-modules/lib/python3.8/site-packages/sqlparse/engine/statement_splitter.py first seen with mtime 1659089632.71154
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/lib-dynload/termios.cpython-38-x86_64-linux-gnu.so first seen with mtime 1656529186.0
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/urllib3/util/__init__.py first seen with mtime 1656529227.0
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/warnings.py first seen with mtime 1656529199.0
File /workspace/reset-bali/django_resetbali/settings.py first seen with mtime 1659103060.158452
File /workspace/reset-bali/contact/admin.py first seen with mtime 1659084114.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/checks/security/sessions.py first seen with mtime 1659089633.4795399
File /workspace/.pip-modules/lib/python3.8/site-packages/django/urls/resolvers.py first seen with mtime 1659089633.55154
File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/sessions/__init__.py first seen with mtime 1659089633.3915398
File /workspace/.pip-modules/lib/python3.8/site-packages/django/utils/cache.py first seen with mtime 1659089633.5555398
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/os.py first seen with mtime 1656529199.0
File /workspace/reset-bali/contact/forms.py first seen with mtime 1659084114.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/views/decorators/__init__.py first seen with mtime 1659089633.56354
File /workspace/.pip-modules/lib/python3.8/site-packages/cloudinary/models.py first seen with mtime 1659089957.0235157
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/stat.py first seen with mtime 1656529199.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/utils/dateparse.py first seen with mtime 1659089633.5555398
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/lib-dynload/_json.cpython-38-x86_64-linux-gnu.so first seen with mtime 1656529182.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/template/loaders/filesystem.py first seen with mtime 1659089633.54754
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/glob.py first seen with mtime 1656529199.0
File /workspace/.pip-modules/lib/python3.8/site-packages/sqlparse/lexer.py first seen with mtime 1659089632.71154
File /workspace/.pip-modules/lib/python3.8/site-packages/sqlparse/filters/reindent.py first seen with mtime 1659089632.71154
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/concurrent/futures/__init__.py first seen with mtime 1656529201.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/template/loaders/__init__.py first seen with mtime 1659089633.54754
File /workspace/.pip-modules/lib/python3.8/site-packages/django/middleware/common.py first seen with mtime 1659089633.5395398
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/urllib3/packages/six.py first seen with mtime 1656529227.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/mail/__init__.py first seen with mtime 1659089633.4835398
File /workspace/.pip-modules/lib/python3.8/site-packages/django/template/backends/base.py first seen with mtime 1659089633.54754
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/asyncio/coroutines.py first seen with mtime 1656529201.0
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/linecache.py first seen with mtime 1656529199.0
File /workspace/reset-bali/programmes/views.py first seen with mtime 1659084114.0
File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/models/constraints.py first seen with mtime 1659089633.51554
File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/admin/exceptions.py first seen with mtime 1659089632.91954
File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/handlers/__init__.py first seen with mtime 1659089633.4835398
File /workspace/reset-bali/accounts/models.py first seen with mtime 1659084114.0
File /workspace/.pip-modules/lib/python3.8/site-packages/cloudinary/uploader.py first seen with mtime 1659089957.0235157
File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/migrations/exceptions.py first seen with mtime 1659089633.50754
File /workspace/.pip-modules/lib/python3.8/site-packages/django/http/request.py first seen with mtime 1659089633.5395398
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/lib-dynload/_pickle.cpython-38-x86_64-linux-gnu.so first seen with mtime 1656529184.0
File /workspace/.pip-modules/lib/python3.8/site-packages/asgiref/local.py first seen with mtime 1659089632.75954
File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/sre_compile.py first seen with mtime 1656529199.0
File /workspace/.pip-modules/lib/python3.8/site-packages/sqlparse/filters/others.py first seen with mtime 1659089632.71154
File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/sessions/exceptions.py first seen with mtime 1659089633.3915398
